Nama,Barcode,Harga Beli,Harga Jual,Stok,Min Stok
Beras Maknyus 5kg,8991234567890,65000,72000,20,5
Minyak Goreng SunCo 2L,8990987654321,34000,38500,15,5
Gula Pasir Gulaku 1kg,8991122334455,16000,18000,50,10
Indomie Goreng Original,8998877665544,2800,3500,120,20
Teh Kotak Sosro 300ml,8997766554433,3500,4500,48,12
Sabun Mandi Lifebuoy 80g,8996655443322,4000,5500,24,6
Pepsodent White 190g,8995544332211,12500,15000,18,5
Kopi Kapal Api 165g,8994433221100,14000,17500,30,10
Susu UHT Ultra Milk 1L,8993322110099,18000,21000,12,4
Tisu Paseo 250 sheets,8992211009988,10000,13500,40,8
